,"(0,0)","(1,1)","(1,2)","(1,3)","(1,4)","(2,1)","(2,2)","(2,3)","(2,4)","(3,1)","(3,2)","(3,3)","(3,4)","(4,1)","(4,2)","(4,3)","(4,4)","(5,1)","(5,2)","(5,3)","(5,4)",Question_ID,correctness,end,player_ID,player_experience,start,total,x1,x2,x3,x4,y1,y2,y3,y4
0,0.017,0.083,0.133,0.0,0.0,0.4,1.649,0.966,0.0,0.25,3.765,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.483,0.0,9,1,210.52014,2,1,202.74915,7.896,0.216,3.015,4.115,0.05,0.733,5.597,1.549,0.0
1,0.033,0.0,0.0,0.0,0.0,0.3,0.816,0.716,0.033,0.0,2.682,1.1,0.0,0.0,0.833,1.266,0.0,0.0,0.017,0.566,0.0,9,0,218.75085,2,1,210.52014,8.362,0.0,1.865,3.782,2.099,0.3,4.348,3.648,0.033
2,0.4,0.0,0.083,0.05,0.3,0.283,0.4,1.983,0.183,0.033,1.283,0.25,0.033,0.0,0.067,1.266,0.0,0.0,0.017,0.233,0.1,9,0,225.60181,2,1,218.75085,6.964,0.433,2.849,1.599,1.333,0.316,1.85,3.782,0.616
3,0.083,0.067,1.066,0.75,0.1,0.766,1.983,2.566,0.217,0.85,0.683,0.6,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.4,0.0,9,0,235.93542000000002,2,1,225.60181,10.498,1.983,5.532,2.133,0.367,1.683,3.732,4.683,0.317
4,0.033,0.0,0.067,0.017,0.0,0.7,0.5,0.583,0.0,0.483,0.267,0.0,0.433,0.3,0.317,0.0,0.0,0.0,0.383,0.0,0.0,9,0,239.94409,2,1,235.93542000000002,4.083,0.084,1.783,1.183,0.617,1.483,1.534,0.6,0.433
5,0.083,0.0,0.0,0.0,0.0,0.167,0.15,0.017,0.0,0.483,0.25,0.233,0.0,0.65,0.033,0.3,0.0,0.167,0.0,0.0,0.0,9,0,242.42871,2,1,239.94409,2.533,0.0,0.334,0.966,0.983,1.467,0.433,0.55,0.0
6,0.466,0.0,0.35,0.0,0.0,0.7,1.883,0.683,0.0,0.133,1.016,0.45,0.0,0.0,0.133,0.183,0.0,0.0,0.05,0.267,0.0,9,0,248.63488999999998,2,1,242.42871,6.314,0.35,3.266,1.599,0.316,0.833,3.432,1.583,0.0
7,0.1,0.0,0.167,0.0,0.0,0.183,0.25,0.333,0.0,0.0,0.017,0.017,0.0,0.0,0.033,0.0,0.0,0.083,0.183,0.0,0.0,9,0,249.96558,2,1,248.63488999999998,1.366,0.167,0.766,0.034,0.033,0.266,0.65,0.35,0.0
8,0.183,0.0,0.383,0.766,0.0,0.017,0.283,0.15,0.0,0.033,0.133,0.167,0.0,0.017,0.0,0.017,0.0,0.017,0.083,0.0,0.0,9,0,252.1676,2,1,249.96558,2.249,1.149,0.45,0.333,0.034,0.084,0.882,1.1,0.0
9,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.55,0.0,0.0,0.317,0.45,0.0,0.0,0.317,0.1,0.283,0.0,0.0,0.0,9,0,254.43445,2,1,252.1676,2.317,0.0,0.833,0.767,0.417,0.283,0.0,0.917,1.1
10,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.217,0.0,0.033,0.133,0.317,0.0,0.0,0.083,0.4,0.0,9,0,255.68335,2,1,254.43445,1.283,0.0,0.0,0.3,0.483,0.033,0.299,0.934,0.0
11,1.233,0.0,0.0,0.0,0.017,0.017,0.916,3.765,0.6,0.816,3.115,4.532,1.216,0.0,0.833,2.749,0.267,0.0,0.083,0.95,0.0,9,0,276.48181,2,1,255.68335,21.109,0.017,5.298,9.679,3.849,0.833,4.947,11.996,2.1
12,0.017,0.0,0.466,0.0,0.0,0.367,0.833,0.017,0.0,0.483,0.317,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.083,0.3,0.0,9,0,279.35693,2,1,276.48181,2.933,0.466,1.217,0.8,0.05,0.85,1.749,0.317,0.0
13,0.05,0.133,0.683,0.417,0.0,0.466,1.866,0.566,0.417,0.15,1.1,0.516,0.0,0.2,0.85,0.0,0.0,0.0,0.183,0.083,0.0,9,0,286.91663,2,1,279.35693,7.68,1.233,3.315,1.766,1.05,0.949,4.682,1.582,0.417
14,0.05,0.0,0.2,0.333,0.0,0.0,0.0,1.05,0.167,0.0,0.383,0.0,0.0,0.0,0.2,0.05,0.0,0.017,0.233,0.0,0.0,9,0,289.54285,2,1,286.91663,2.683,0.533,1.217,0.383,0.25,0.017,1.016,1.433,0.167
15,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.833,0.017,0.0,0.083,0.417,0.0,0.0,0.233,0.0,0.0,9,0,292.00732,2,1,289.54285,2.516,0.0,0.85,0.85,0.5,0.0,0.316,2.1,0.017
16,0.05,0.283,0.0,0.0,0.0,0.017,0.233,0.0,0.0,0.35,1.183,1.599,0.167,0.0,0.233,0.6,0.0,0.0,0.017,0.433,0.0,9,0,297.08374,2,1,292.00732,5.165,0.283,0.25,3.299,0.833,0.65,1.666,2.632,0.167
17,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.95,0.25,0.0,0.0,0.317,0.0,0.0,0.383,0.0,0.0,9,0,299.1377,2,1,297.08374,2.1,0.0,0.0,1.367,0.317,0.0,0.55,1.267,0.25
18,0.1,0.0,0.35,0.2,0.0,0.1,0.916,1.466,0.0,0.0,1.216,2.049,0.566,0.0,0.0,0.25,0.0,0.0,0.25,0.267,0.083,9,0,306.82617,2,1,299.1377,7.813,0.55,2.482,3.831,0.25,0.1,2.732,4.232,0.649
19,0.15,0.0,0.0,0.133,0.0,0.0,0.117,0.6,0.217,0.0,0.0,0.383,0.05,0.0,0.0,0.0,0.0,0.233,0.033,0.133,0.0,9,0,308.83203,2,1,306.82617,2.049,0.133,0.934,0.433,0.0,0.233,0.15,1.249,0.267
20,0.183,0.0,0.017,0.0,0.0,0.0,0.383,0.133,0.0,0.0,0.666,0.317,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.0,9,0,310.88416,2,1,308.83203,2.099,0.017,0.516,0.983,0.25,0.4,1.066,0.45,0.0
21,0.05,0.0,0.7,0.267,0.0,0.566,1.316,0.8,0.5,0.233,0.85,0.1,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.55,0.0,9,0,316.7489,2,1,310.88416,5.965,0.967,3.182,1.183,0.033,0.832,2.866,1.717,0.5
22,0.133,0.0,0.0,0.0,0.0,0.05,0.716,0.0,0.0,0.017,0.217,0.0,0.0,0.0,0.033,0.0,0.0,0.05,0.133,0.0,0.0,9,0,318.06323,2,1,316.7489,1.349,0.0,0.766,0.234,0.033,0.117,1.099,0.0,0.0
0,0.033,0.033,0.833,0.35,0.0,0.816,2.216,3.515,0.0,0.516,2.016,1.783,0.766,0.183,0.117,0.35,0.0,0.0,0.0,0.317,0.033,10,1,344.48107999999996,2,1,330.81482,13.877,1.216,6.547,5.081,0.65,1.548,5.182,6.315,0.799
1,0.25,0.0,0.3,0.3,0.0,0.067,0.367,0.117,0.55,0.0,0.0,0.0,0.033,0.0,0.0,0.017,0.0,0.0,0.0,0.1,0.0,10,0,346.53467,2,1,344.48107999999996,2.101,0.6,1.101,0.033,0.017,0.067,0.667,0.534,0.583
2,0.05,0.0,0.0,0.283,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.0,0.0,0.0,0.25,10,0,347.70251,2,1,346.53467,1.199,0.283,0.55,0.0,0.066,0.0,0.0,0.866,0.283
3,0.3,0.0,0.2,0.0,0.0,0.217,0.367,0.0,0.0,0.0,0.033,0.017,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0.0,10,0,349.06689,2,1,347.70251,1.401,0.2,0.584,0.05,0.267,0.217,0.6,0.017,0.267
4,0.05,0.0,0.15,0.483,0.033,0.6,1.333,1.2,0.15,0.716,1.616,1.633,0.433,0.0,0.433,0.0,0.017,0.0,0.2,0.217,0.083,10,0,358.26758,2,1,349.06689,9.347,0.666,3.283,4.398,0.45,1.316,3.732,3.533,0.716
5,0.067,0.0,0.0,0.55,0.65,0.15,1.399,1.449,0.0,0.233,1.666,1.166,0.0,0.0,0.25,0.816,0.0,0.0,0.017,0.367,0.0,10,0,366.90796,2,1,358.26758,8.78,1.2,2.998,3.065,1.066,0.383,3.332,4.348,0.65
6,0.2,0.2,0.0,0.133,0.0,0.45,0.217,0.666,0.0,0.017,1.0,1.383,0.167,0.067,0.816,0.85,0.0,0.0,0.0,0.4,0.0,10,0,373.36377000000005,2,1,366.90796,6.566,0.333,1.333,2.567,1.733,0.734,2.033,3.432,0.167
7,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.033,0.0,0.0,0.716,0.117,0.0,0.0,0.783,0.183,0.0,0.25,0.133,0.15,10,0,376.45313,2,1,373.36377000000005,3.148,0.0,0.35,0.833,0.966,0.0,0.25,1.949,0.483
8,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.616,0.0,0.033,0.3,0.233,0.033,0.033,0.0,0.0,0.0,10,0,378.04541,2,1,376.45313,1.631,0.0,0.0,0.782,0.599,0.149,0.383,0.849,0.033
9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.033,0.633,0.466,0.0,0.117,0.0,0.0,0.0,10,0,379.68872000000005,2,1,378.04541,1.682,0.0,0.0,0.333,1.132,0.15,0.966,0.466,0.0
10,0.033,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.05,0.4,0.217,0.0,0.117,0.0,0.0,0.0,0.0,0.35,0.017,0.0,10,0,381.23267000000004,2,1,379.68872000000005,1.584,0.0,0.4,0.667,0.117,0.567,0.75,0.234,0.0
0,0.067,0.0,0.0,0.0,0.0,0.766,1.233,0.516,0.083,0.566,0.716,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.25,0.0,0.0,11,1,395.09839,2,1,390.79443,4.38,0.0,2.598,1.282,0.183,1.332,2.382,0.516,0.083
1,0.017,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.167,0.2,0.0,0.0,0.25,0.267,0.0,0.0,0.333,0.0,0.0,0.0,11,0,396.59424,2,1,395.09839,1.534,0.0,0.3,0.367,0.517,0.85,0.667,0.0,0.0
2,0.233,0.0,0.0,0.0,0.0,0.283,0.55,0.483,0.0,0.55,0.317,1.016,0.067,0.367,0.267,1.599,0.0,0.267,0.033,0.033,0.167,11,0,402.72168,2,1,396.59424,6.232,0.0,1.316,1.95,2.233,1.467,1.167,3.131,0.234
3,0.55,0.0,0.0,0.0,0.0,1.083,2.616,1.0,0.417,0.183,1.483,0.633,0.167,0.017,0.616,0.0,0.0,0.0,0.233,0.333,0.1,11,0,412.00391,2,1,402.72168,9.431,0.0,5.116,2.466,0.633,1.283,4.948,1.966,0.684
4,0.1,0.0,0.25,0.0,0.0,0.233,0.4,0.0,0.0,0.117,0.15,0.0,0.033,0.0,0.033,0.033,0.0,0.183,0.05,0.033,0.0,11,0,413.5813,2,1,412.00391,1.615,0.25,0.633,0.3,0.066,0.533,0.883,0.066,0.033
5,0.083,0.0,0.033,0.283,0.0,0.0,0.0,1.566,0.017,0.183,0.083,0.25,0.033,0.0,0.0,0.0,0.0,0.033,0.233,0.0,0.0,11,0,416.32446,2,1,413.5813,2.797,0.316,1.583,0.549,0.0,0.216,0.349,2.099,0.05
6,0.033,0.0,0.0,0.25,0.0,0.0,0.0,1.683,0.017,0.15,0.117,1.449,0.0,0.0,0.0,0.683,0.133,0.067,0.25,0.0,0.0,11,0,421.07275,2,1,416.32446,4.832,0.25,1.7,1.716,0.816,0.217,0.367,4.065,0.15
7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.017,0.45,0.383,0.0,0.0,0.0,0.083,0.25,11,0,422.47020999999995,2,1,421.07275,1.433,0.0,0.0,0.15,0.85,0.017,0.45,0.616,0.25
8,0.05,0.0,0.083,0.583,0.017,0.0,0.0,0.666,0.117,0.0,0.0,0.75,0.0,0.0,0.0,0.067,0.0,0.0,0.017,0.267,0.033,11,0,425.06494000000004,2,1,422.47020999999995,2.65,0.683,0.783,0.75,0.067,0.0,0.1,2.333,0.167
9,0.083,0.0,0.0,0.233,0.017,0.0,0.0,0.1,0.267,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.15,11,0,426.49438,2,1,425.06494000000004,1.467,0.25,0.367,0.6,0.0,0.0,0.0,0.65,0.734
0,0.017,0.0,0.0,0.2,0.017,0.0,0.017,0.766,0.217,0.0,0.017,0.6,0.117,0.0,0.0,0.566,0.0,0.0,0.283,0.0,0.0,12,1,440.52417,2,1,437.76465,2.817,0.217,1.0,0.734,0.566,0.0,0.317,2.132,0.351
1,0.1,0.0,0.0,0.0,0.0,0.466,0.133,0.7,0.117,0.117,0.15,0.883,0.067,0.45,0.616,0.05,0.0,0.383,0.017,0.0,0.0,12,0,444.69750999999997,2,1,440.52417,4.249,0.0,1.416,1.217,1.116,1.416,0.916,1.633,0.184
2,0.067,0.0,0.0,0.0,0.0,0.183,0.666,0.7,0.0,0.0,0.683,0.966,0.133,0.0,0.0,0.516,0.067,0.0,0.0,0.267,0.0,12,0,448.87035999999995,2,1,444.69750999999997,4.248,0.0,1.549,1.782,0.583,0.183,1.349,2.449,0.2
3,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.05,0.0,0.0,0.483,0.133,0.0,0.0,0.033,0.0,0.0,0.0,0.2,0.2,12,0,450.23438,2,1,448.87035999999995,1.399,0.0,0.317,0.616,0.033,0.0,0.0,0.983,0.383
4,0.067,0.0,0.0,0.033,0.0,0.0,0.0,0.367,0.417,0.0,0.0,0.183,0.033,0.0,0.0,0.033,0.0,0.0,0.0,0.033,0.167,12,0,451.53198,2,1,450.23438,1.333,0.033,0.784,0.216,0.033,0.0,0.0,0.649,0.617
5,0.083,0.383,0.283,0.417,0.483,0.317,1.016,0.733,0.017,0.083,0.616,0.45,0.0,0.0,0.05,0.0,0.0,0.083,0.15,0.267,0.25,12,0,457.11792,2,1,451.53198,5.681,1.566,2.083,1.149,0.05,0.866,2.115,1.867,0.75
6,0.15,0.067,0.167,0.783,0.0,1.133,1.266,0.267,0.0,0.65,0.833,0.267,0.0,0.033,0.017,0.0,0.0,0.15,0.017,0.0,0.0,12,0,462.8186,2,1,457.11792,5.8,1.017,2.666,1.75,0.05,2.033,2.3,1.317,0.0
7,0.05,0.0,0.0,0.0,0.0,0.083,0.65,1.033,0.0,0.0,0.033,0.0,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.3,0.033,12,0,464.9873,2,1,462.8186,2.216,0.0,1.766,0.033,0.034,0.083,0.7,1.35,0.033
8,0.283,0.0,0.25,0.35,0.0,0.0,0.367,0.017,0.0,0.0,0.017,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.017,12,0,466.48217999999997,2,1,464.9873,1.534,0.6,0.384,0.05,0.0,0.0,0.634,0.6,0.017
9,0.05,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.0,0.017,1.216,0.816,0.0,0.017,0.766,0.633,0.0,0.0,0.1,0.3,0.0,12,0,470.90137000000004,2,1,466.48217999999997,4.498,0.0,0.583,2.049,1.416,0.034,2.665,1.749,0.0
0,0.117,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.167,1.316,0.433,0.0,0.0,0.117,0.0,0.0,0.417,0.067,0.0,0.033,1,1,22.83667,3,0,20.124270000000003,2.767,0.0,0.1,1.916,0.117,0.584,1.55,0.483,0.033
0,0.067,0.0,0.0,0.033,0.0,0.233,0.516,1.499,0.017,0.0,0.0,0.283,0.25,0.0,0.033,0.017,0.0,0.0,0.983,0.0,0.0,2,1,35.7832,3,0,31.922359999999998,3.931,0.033,2.265,0.533,0.05,0.233,1.532,1.832,0.267
0,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.566,0.0,0.1,0.65,1.566,0.0,0.0,0.0,0.466,0.0,0.15,0.067,0.3,0.0,3,1,48.21924,3,0,44.21167,4.082,0.0,0.566,2.316,0.466,0.25,0.717,2.898,0.0
0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.033,0.233,0.716,0.633,0.0,0.067,0.417,0.35,0.0,0.0,0.533,0.0,0.0,4,1,60.60474,3,0,57.10547,3.565,0.0,0.549,1.582,0.834,0.3,1.666,1.499,0.033
0,0.017,0.0,0.0,0.0,0.0,0.25,0.883,0.383,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,5,1,75.8186,3,0,73.53662,2.333,0.0,1.516,0.1,0.1,0.25,1.683,0.383,0.0
1,0.1,0.0,0.0,0.0,0.0,0.133,0.35,0.0,0.0,0.25,0.766,0.0,0.0,0.05,0.017,0.0,0.0,0.0,0.0,0.267,0.233,5,0,77.9375,3,0,75.8186,2.166,0.0,0.483,1.016,0.067,0.433,1.133,0.267,0.233
2,0.167,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.133,0.017,0.0,0.0,0.883,0.1,0.0,0.0,0.117,0.5,0.0,0.0,5,0,80.05664,3,0,77.9375,2.167,0.0,0.25,0.15,0.983,1.383,0.617,0.0,0.0
3,0.15,0.117,0.433,0.067,0.0,0.566,0.267,0.033,0.0,0.516,0.033,0.0,0.0,0.0,0.017,0.0,0.05,0.0,0.0,0.0,0.783,5,0,83.03027,3,0,80.05664,3.032,0.617,0.866,0.549,0.067,1.199,0.75,0.1,0.833
4,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.067,0.0,0.0,0.333,0.117,0.2,0.05,0.0,0.0,5,0,84.36108,3,0,83.03027,1.367,0.0,0.0,0.484,0.45,0.2,0.05,0.75,0.184
5,0.217,0.0,0.0,0.1,0.816,0.0,0.0,0.067,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.0,0.367,0.0,5,0,86.02221999999999,3,0,84.36108,1.701,0.916,0.167,0.0,0.017,0.017,0.0,0.534,0.933
0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.1,0.0,0.0,0.183,0.0,0.0,0.0,0.133,0.267,0.0,0.0,6,1,97.94922,3,0,96.35669,1.633,0.0,0.0,0.95,0.183,1.166,0.367,0.0,0.0
1,0.033,0.0,0.0,0.0,0.0,0.317,0.433,0.4,0.0,0.317,0.133,0.0,0.0,0.033,0.117,0.0,0.0,0.133,0.333,0.0,0.0,6,0,100.15063,3,0,97.94922,2.249,0.0,1.15,0.45,0.15,0.8,1.016,0.4,0.0
2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.766,0.133,0.0,0.0,0.15,0.317,0.033,6,0,101.61255,3,0,100.15063,1.499,0.0,0.0,0.05,0.899,0.0,0.966,0.45,0.033
